Model,Method,Pattern,BLEU-1,ROUGE-1-F1,BERT-Score-F1,Status
bart-base,Method1 Unsupervised,Null Prompt,1.25,3.87,73.81,Success
bart-base,Method1 Unsupervised,Pattern 0,19.93,32.37,85.05,Success
bart-base,Method1 Unsupervised,Pattern 1,18.47,31.91,86.24,Success
bart-base,Method1 Unsupervised,Pattern 2,19.93,32.37,85.05,Success
bart-base,Method1 Unsupervised,Pattern 3,18.47,31.91,86.24,Success
bart-base,Method2 Finetuning,Null Prompt,15.72,28.60,82.77,Success
bart-base,Method2 Finetuning,Pattern 0,15.32,28.16,84.76,Success
bart-base,Method2 Finetuning,Pattern 1,22.52,33.17,85.66,Success
bart-base,Method2 Finetuning,Pattern 2,15.32,28.16,84.76,Success
bart-base,Method2 Finetuning,Pattern 3,22.52,33.17,85.66,Success
bart-base,Method3 Ensembling,Final Ensemble,9.59,17.71,78.29,Success
t5-base,Method1 Unsupervised,Null Prompt,9.90,21.57,84.64,Success
t5-base,Method1 Unsupervised,Pattern 0,18.55,29.01,87.75,Success
t5-base,Method1 Unsupervised,Pattern 1,21.79,36.88,87.64,Success
t5-base,Method1 Unsupervised,Pattern 2,18.55,29.01,87.75,Success
t5-base,Method1 Unsupervised,Pattern 3,21.79,36.88,87.64,Success
t5-base,Method2 Finetuning,Null Prompt,12.20,30.67,83.84,Success
t5-base,Method2 Finetuning,Pattern 0,17.01,34.18,86.37,Success
t5-base,Method2 Finetuning,Pattern 1,18.66,37.25,87.21,Success
t5-base,Method2 Finetuning,Pattern 2,17.01,34.18,86.37,Success
t5-base,Method2 Finetuning,Pattern 3,18.66,37.25,87.21,Success
t5-base,Method3 Ensembling,Final Ensemble,2.38,4.12,71.85,Success
pegasus-xsum,Method1 Unsupervised,Null Prompt,22.39,34.67,82.60,Success
pegasus-xsum,Method1 Unsupervised,Pattern 0,10.97,17.13,77.71,Success
pegasus-xsum,Method1 Unsupervised,Pattern 1,15.67,25.00,80.37,Success
pegasus-xsum,Method1 Unsupervised,Pattern 2,10.97,17.13,77.71,Success
pegasus-xsum,Method1 Unsupervised,Pattern 3,15.67,25.00,80.37,Success
pegasus-xsum,Method2 Finetuning,Null Prompt,18.28,48.37,85.07,Success
pegasus-xsum,Method2 Finetuning,Pattern 0,19.51,32.73,82.17,Success
pegasus-xsum,Method2 Finetuning,Pattern 1,19.82,35.07,81.54,Success
pegasus-xsum,Method2 Finetuning,Pattern 2,19.51,32.73,82.17,Success
pegasus-xsum,Method2 Finetuning,Pattern 3,19.82,35.07,81.54,Success
pegasus-xsum,Method3 Ensembling,Final Ensemble,26.15,52.46,86.95,Success
